,yearID,franchID,WSWin,R,H,HR,BB,SB,ERA,HA,HRA,BBA,SOA,E,WP
0,1969,ATL,N,691,1411,141,485,59.0,3.53,1334,144,438,893,115,57
1,1969,BAL,N,779,1465,175,634,82.0,2.83,1194,117,498,897,101,67
2,1969,BOS,N,743,1381,197,658,41.0,3.92,1423,155,685,935,157,53
3,1969,ANA,N,528,1221,88,516,54.0,3.54,1294,126,517,885,135,43
4,1969,CHW,N,625,1346,112,552,54.0,4.21,1470,146,564,810,122,41
5,1969,CHC,N,720,1400,142,559,30.0,3.34,1366,118,475,1017,136,56
6,1969,CIN,N,798,1558,171,474,79.0,4.11,1478,149,611,818,168,54
7,1969,CLE,N,573,1272,119,535,85.0,3.94,1330,134,681,1000,142,38
8,1969,DET,N,701,1316,182,578,35.0,3.31,1250,128,586,1032,126,55
9,1969,HOU,N,676,1284,104,699,101.0,3.6,1347,111,547,1221,150,50
10,1969,KCR,N,586,1311,98,522,129.0,3.72,1357,136,560,894,156,42
11,1969,LAD,N,645,1405,97,484,80.0,3.08,1324,122,420,975,109,52
12,1969,MIN,N,790,1520,163,599,115.0,3.24,1388,119,524,906,150,59
13,1969,WSN,N,582,1300,125,529,52.0,4.33,1429,145,702,973,184,32
14,1969,NYY,N,562,1247,94,565,119.0,3.23,1258,118,522,801,131,49
15,1969,NYM,Y,632,1311,109,527,66.0,2.99,1217,119,517,1012,122,61
16,1969,OAK,N,740,1400,148,617,100.0,3.71,1356,163,586,887,137,54
17,1969,PHI,N,645,1304,137,549,73.0,4.14,1494,134,570,921,136,38
18,1969,PIT,N,725,1557,119,454,74.0,3.61,1348,96,553,1124,155,54
19,1969,SDP,N,468,1203,99,423,45.0,4.24,1454,113,592,764,155,32
20,1969,MIL,N,639,1276,125,626,167.0,4.35,1490,172,653,963,167,39
21,1969,SFG,N,713,1325,136,711,71.0,3.26,1381,120,461,906,169,55
22,1969,STL,N,595,1403,90,503,87.0,2.94,1289,99,511,1004,138,53
23,1969,TEX,N,694,1365,148,630,52.0,3.49,1310,135,656,835,140,53
24,1970,ATL,N,736,1495,160,522,58.0,4.33,1451,185,478,960,140,46
25,1970,BAL,Y,792,1424,179,717,84.0,3.15,1317,139,469,941,117,66
26,1970,BOS,N,786,1450,203,594,50.0,3.87,1391,156,594,1003,156,53
27,1970,ANA,N,631,1391,114,447,69.0,3.48,1280,154,559,922,127,53
28,1970,CHW,N,633,1394,123,477,53.0,4.54,1554,164,556,762,165,34
29,1970,CHC,N,806,1424,179,607,39.0,3.76,1402,143,475,1000,137,51
30,1970,CIN,N,775,1498,191,547,115.0,3.69,1370,118,592,843,151,62
31,1970,CLE,N,649,1358,183,503,25.0,3.91,1333,163,689,1076,133,46
32,1970,DET,N,666,1282,148,656,29.0,4.09,1443,153,623,1045,132,48
33,1970,HOU,N,744,1446,129,598,114.0,4.23,1491,131,577,942,138,48
34,1970,KCR,N,611,1341,97,514,97.0,3.78,1346,138,641,915,152,40
35,1970,LAD,N,749,1515,87,541,138.0,3.82,1394,164,496,880,133,54
36,1970,MIN,N,744,1438,153,501,57.0,3.23,1329,130,486,940,123,60
37,1970,MIL,N,613,1305,126,592,91.0,4.21,1397,146,587,895,136,39
38,1970,WSN,N,687,1284,136,659,65.0,4.5,1434,162,716,914,141,45
39,1970,NYY,N,680,1381,111,588,105.0,3.24,1386,130,451,777,130,57
40,1970,NYM,N,695,1358,120,684,118.0,3.45,1260,135,575,1064,124,51
41,1970,OAK,N,678,1338,171,584,131.0,3.3,1253,134,542,858,141,54
42,1970,PHI,N,594,1299,101,519,72.0,4.17,1483,132,538,1047,112,45
43,1970,PIT,N,729,1522,130,444,66.0,3.7,1386,106,625,990,137,54
44,1970,SDP,N,681,1353,172,500,60.0,4.36,1483,149,611,886,157,38
45,1970,SFG,N,831,1460,165,729,83.0,4.5,1514,156,604,931,170,53
46,1970,STL,N,744,1497,113,569,117.0,4.06,1483,102,632,960,150,46
47,1970,TEX,N,626,1302,138,635,72.0,3.8,1375,139,611,823,116,43
48,1971,ATL,N,643,1434,153,434,57.0,3.75,1529,152,485,823,146,50
49,1971,BAL,N,742,1382,158,672,66.0,2.99,1257,125,416,793,112,63
50,1971,BOS,N,691,1360,161,552,51.0,3.8,1424,136,535,871,116,52
51,1971,ANA,N,511,1271,96,441,72.0,3.1,1246,101,607,904,131,46
52,1971,CHW,N,617,1346,138,562,83.0,3.12,1348,100,468,976,160,48
53,1971,CHC,N,637,1401,128,527,44.0,3.61,1458,132,411,900,126,51
54,1971,CIN,N,586,1306,138,438,59.0,3.35,1298,112,501,750,103,48
55,1971,CLE,N,543,1303,109,467,57.0,4.28,1352,154,770,937,116,37
56,1971,DET,N,701,1399,179,540,35.0,3.63,1355,126,609,1000,106,56
57,1971,HOU,N,585,1319,71,478,101.0,3.13,1318,75,475,914,104,48
58,1971,KCR,N,603,1323,80,490,130.0,3.25,1301,84,496,775,132,52
59,1971,LAD,N,663,1469,95,489,76.0,3.23,1363,110,399,853,131,54
60,1971,MIN,N,654,1406,116,512,66.0,3.81,1384,139,529,895,117,46
61,1971,MIL,N,534,1188,104,543,82.0,3.38,1303,130,569,795,138,42
62,1971,WSN,N,622,1312,88,543,51.0,4.12,1418,133,658,829,150,43
63,1971,NYY,N,648,1377,97,581,75.0,3.43,1382,126,423,707,125,50
64,1971,NYM,N,588,1365,98,547,89.0,2.99,1227,100,529,1157,112,51
65,1971,OAK,N,691,1383,160,542,80.0,3.05,1229,131,501,999,117,62
66,1971,PHI,N,558,1289,123,499,63.0,3.71,1396,132,525,838,121,41
67,1971,PIT,Y,788,1555,154,469,65.0,3.31,1426,108,470,813,133,59
68,1971,SDP,N,486,1250,96,438,70.0,3.22,1351,93,559,923,161,37
69,1971,SFG,N,706,1348,140,654,101.0,3.32,1324,128,471,831,177,55
70,1971,STL,N,739,1542,95,543,124.0,3.85,1482,104,576,911,142,55
71,1971,TEX,N,537,1219,86,575,68.0,3.7,1376,132,554,762,141,39
72,1972,ATL,N,628,1363,144,532,47.0,4.27,1412,155,512,732,156,45
73,1972,BAL,N,519,1153,100,507,78.0,2.53,1116,85,395,788,100,51
74,1972,BOS,N,640,1289,124,522,66.0,3.47,1309,101,512,918,130,54
75,1972,ANA,N,454,1249,78,358,57.0,3.06,1109,90,620,1000,114,48
76,1972,CHW,N,566,1208,108,511,100.0,3.12,1269,94,431,936,135,56
77,1972,CHC,N,685,1346,133,565,69.0,3.22,1329,112,421,824,132,54
78,1972,CIN,N,707,1317,124,606,140.0,3.21,1313,129,435,806,110,61
79,1972,CLE,N,472,1220,91,420,49.0,2.92,1232,123,534,846,111,46
80,1972,DET,N,558,1206,122,483,17.0,2.96,1212,101,465,952,96,55
81,1972,HOU,N,708,1359,134,524,111.0,3.77,1340,114,498,971,114,54
82,1972,KCR,N,580,1317,78,534,85.0,3.24,1293,85,405,801,116,49
83,1972,LAD,N,584,1349,98,480,82.0,2.78,1196,83,429,856,162,54
84,1972,MIN,N,537,1277,93,478,53.0,2.84,1188,105,444,838,159,50
85,1972,MIL,N,493,1204,88,472,64.0,3.45,1289,116,486,740,139,41
86,1972,WSN,N,513,1205,91,474,68.0,3.59,1281,103,579,888,134,44
87,1972,NYY,N,557,1288,103,491,71.0,3.05,1306,87,419,625,134,50
88,1972,NYM,N,528,1154,105,589,41.0,3.26,1263,118,486,1059,116,53
89,1972,OAK,Y,604,1248,134,463,87.0,2.58,1170,96,418,862,130,60
90,1972,PHI,N,503,1240,98,487,42.0,3.66,1318,117,536,927,116,37
91,1972,PIT,N,691,1505,110,404,49.0,2.81,1282,90,433,838,136,61
92,1972,SDP,N,488,1181,102,407,78.0,3.78,1350,121,618,960,144,37
93,1972,SFG,N,662,1281,150,480,123.0,3.69,1309,130,507,771,154,44
94,1972,STL,N,568,1383,70,437,104.0,3.42,1290,87,531,912,140,48
95,1972,TEX,N,461,1092,56,503,126.0,3.53,1258,92,613,868,166,35
96,1973,ATL,N,799,1497,206,608,84.0,4.25,1467,144,575,803,166,46
97,1973,BAL,N,754,1474,119,648,146.0,3.07,1297,124,475,715,119,59
98,1973,BOS,N,738,1472,147,581,114.0,3.65,1417,158,499,808,127,54
99,1973,ANA,N,629,1395,93,509,59.0,3.53,1351,104,614,1010,156,48
100,1973,CHW,N,652,1400,111,537,83.0,3.86,1484,110,574,848,144,47
101,1973,CHC,N,614,1322,117,575,65.0,3.66,1471,128,438,885,157,47
102,1973,CIN,N,741,1398,137,639,148.0,3.4,1389,135,518,801,115,61
103,1973,CLE,N,680,1429,158,471,60.0,4.58,1532,172,602,883,138,43
104,1973,DET,N,642,1400,157,509,28.0,3.9,1468,154,493,911,112,52
105,1973,HOU,N,681,1391,134,469,92.0,3.75,1389,111,575,907,112,50
106,1973,KCR,N,755,1440,114,644,105.0,4.19,1521,114,617,790,167,54
107,1973,LAD,N,675,1473,110,497,109.0,3.0,1270,129,461,961,125,58
108,1973,MIN,N,738,1521,120,598,87.0,3.77,1443,115,519,879,139,50
109,1973,MIL,N,708,1399,145,563,110.0,3.98,1476,119,623,671,145,45
110,1973,WSN,N,668,1345,125,695,77.0,3.71,1356,128,681,866,163,48
111,1973,NYY,N,641,1435,131,489,47.0,3.34,1379,109,457,708,156,49
112,1973,NYM,N,608,1345,85,540,27.0,3.26,1345,127,490,1027,126,50
113,1973,OAK,Y,758,1431,147,595,128.0,3.29,1311,143,494,797,137,58
114,1973,PHI,N,642,1381,134,476,51.0,3.99,1435,131,632,919,134,43
115,1973,PIT,N,704,1465,154,432,23.0,3.73,1426,110,564,839,151,49
116,1973,SDP,N,548,1330,112,401,88.0,4.16,1461,157,548,845,170,37
117,1973,SFG,N,739,1452,161,590,112.0,3.79,1442,145,485,787,163,54
118,1973,STL,N,643,1418,75,531,100.0,3.25,1366,105,486,867,158,50
119,1973,TEX,N,619,1397,110,503,91.0,4.64,1514,130,680,831,161,35
120,1974,ATL,N,661,1375,120,571,72.0,3.05,1343,97,488,772,132,53
121,1974,BAL,N,659,1418,116,509,145.0,3.27,1393,101,480,701,128,56
122,1974,BOS,N,696,1449,109,569,104.0,3.72,1462,126,463,751,145,51
123,1974,ANA,N,618,1372,95,509,119.0,3.52,1339,101,649,986,147,41
124,1974,CHW,N,684,1492,135,519,64.0,3.94,1470,103,548,826,147,49
125,1974,CHC,N,669,1397,110,621,78.0,4.28,1593,122,576,895,199,40
126,1974,CIN,N,776,1437,135,693,146.0,3.41,1364,126,536,875,134,60
127,1974,CLE,N,662,1395,131,432,79.0,3.8,1419,138,479,650,143,47
128,1974,DET,N,620,1375,131,436,67.0,4.16,1443,148,621,869,158,44
129,1974,HOU,N,653,1441,110,471,108.0,3.46,1396,84,601,738,108,50
130,1974,KCR,N,667,1448,89,550,146.0,3.51,1477,91,482,731,152,47
131,1974,LAD,N,798,1511,139,597,149.0,2.97,1272,112,464,943,157,62
132,1974,MIN,N,673,1530,111,520,74.0,3.64,1436,115,513,934,151,50
133,1974,MIL,N,647,1335,120,500,106.0,3.76,1476,126,493,621,127,46
134,1974,WSN,N,662,1355,86,652,124.0,3.6,1340,99,544,822,153,49
135,1974,NYY,N,671,1451,101,515,53.0,3.31,1402,104,528,829,142,54
136,1974,NYM,N,572,1286,96,597,43.0,3.42,1433,99,504,908,158,43
137,1974,OAK,Y,689,1315,132,568,164.0,2.95,1322,90,430,755,141,55
138,1974,PHI,N,676,1434,95,469,115.0,3.91,1394,111,682,892,148,49
139,1974,PIT,N,751,1560,114,514,55.0,3.49,1428,93,543,721,162,54
140,1974,SDP,N,541,1239,99,564,85.0,4.58,1536,124,715,855,170,37
141,1974,SFG,N,634,1380,93,548,107.0,3.78,1409,116,559,756,175,44
142,1974,STL,N,677,1492,83,531,172.0,3.48,1399,97,616,794,147,53
143,1974,TEX,N,690,1482,99,508,113.0,3.82,1423,126,449,871,163,52
144,1975,ATL,N,583,1323,107,543,55.0,3.91,1543,101,519,669,175,41
145,1975,BAL,N,682,1382,124,580,104.0,3.17,1285,110,500,717,107,56
146,1975,BOS,N,796,1500,134,565,66.0,3.98,1463,145,490,720,135,59
147,1975,ANA,N,628,1324,55,593,220.0,3.89,1386,123,613,975,184,44
148,1975,CHW,N,655,1400,94,611,101.0,3.93,1489,107,655,799,140,46
149,1975,CHC,N,712,1419,95,650,67.0,4.49,1587,130,551,850,178,46
150,1975,CIN,Y,840,1515,124,691,168.0,3.37,1422,112,487,663,102,66
151,1975,CLE,N,688,1409,153,525,106.0,3.84,1395,136,599,800,134,49
152,1975,DET,N,570,1338,125,383,63.0,4.27,1496,137,533,787,173,35
153,1975,HOU,N,664,1401,84,523,133.0,4.04,1436,106,679,839,137,39
154,1975,KCR,N,710,1431,118,591,155.0,3.47,1422,108,498,815,155,56
155,1975,LAD,N,648,1355,118,611,138.0,2.92,1215,104,448,894,127,54
156,1975,MIN,N,724,1497,121,563,81.0,4.05,1381,137,617,846,169,47
157,1975,MIL,N,675,1343,146,553,65.0,4.34,1496,133,624,643,180,41
158,1975,WSN,N,601,1346,98,579,108.0,3.72,1448,102,665,831,180,46
159,1975,NYY,N,681,1430,110,486,102.0,3.29,1325,104,502,809,135,51
160,1975,NYM,N,646,1430,101,501,32.0,3.39,1344,99,580,989,151,50
161,1975,OAK,N,758,1376,151,609,183.0,3.27,1267,102,523,784,143,60
162,1975,PHI,N,735,1506,125,610,126.0,3.82,1353,111,546,897,152,53
163,1975,PIT,N,712,1444,138,468,49.0,3.01,1302,79,551,768,151,57
164,1975,SDP,N,552,1324,78,506,85.0,3.48,1494,99,521,713,188,43
165,1975,SFG,N,659,1412,84,604,99.0,3.74,1406,92,612,856,145,49
166,1975,STL,N,662,1527,81,444,116.0,3.57,1452,98,571,824,171,50
167,1975,TEX,N,714,1431,134,613,102.0,3.86,1456,123,518,792,191,48
168,1976,ATL,N,620,1309,82,589,74.0,3.86,1435,86,564,818,167,43
169,1976,BAL,N,619,1326,119,519,150.0,3.32,1396,80,489,678,118,54
170,1976,BOS,N,716,1448,134,500,95.0,3.52,1495,109,409,673,139,51
171,1976,ANA,N,550,1265,63,534,126.0,3.36,1323,95,553,992,150,46
172,1976,CHW,N,586,1410,73,471,120.0,4.25,1460,87,600,802,130,39
173,1976,CHC,N,611,1386,105,490,74.0,3.93,1511,123,490,850,140,46
174,1976,CIN,Y,857,1599,141,681,210.0,3.51,1436,100,491,790,102,62
175,1976,CLE,N,615,1423,85,479,75.0,3.47,1361,80,533,928,121,50
176,1976,DET,N,609,1401,101,450,107.0,3.87,1426,101,550,738,168,45
177,1976,HOU,N,625,1401,66,530,150.0,3.56,1349,82,662,780,140,49
178,1976,KCR,N,713,1490,65,484,218.0,3.21,1356,83,493,735,139,55
179,1976,LAD,N,608,1371,91,486,144.0,3.02,1330,97,479,747,128,56
180,1976,MIN,N,743,1526,81,550,146.0,3.69,1421,89,610,762,172,52
181,1976,MIL,N,570,1326,88,511,62.0,3.64,1406,99,567,677,152,40
182,1976,WSN,N,531,1275,94,433,86.0,3.99,1442,89,659,783,147,33
183,1976,NYY,N,730,1496,120,470,163.0,3.19,1300,97,448,674,126,61
184,1976,NYM,N,615,1334,102,561,66.0,2.94,1248,97,419,1025,131,53
185,1976,OAK,N,686,1319,113,592,341.0,3.26,1412,96,415,711,144,54
186,1976,PHI,N,770,1505,110,542,127.0,3.08,1377,98,397,918,115,62
187,1976,PIT,N,708,1499,110,433,130.0,3.36,1402,95,460,762,163,56
188,1976,SDP,N,570,1327,64,488,92.0,3.65,1368,87,543,652,141,45
189,1976,SFG,N,595,1340,85,518,88.0,3.53,1464,68,518,746,183,45
190,1976,STL,N,629,1432,63,512,123.0,3.6,1416,91,581,731,174,44
191,1976,TEX,N,616,1390,80,568,87.0,3.45,1464,106,461,773,156,46
192,1977,ATL,N,678,1404,139,537,82.0,4.85,1581,169,701,915,175,37
193,1977,BAL,N,719,1433,148,560,90.0,3.74,1414,124,494,737,106,60
194,1977,BOS,N,859,1551,213,528,66.0,4.11,1555,158,378,758,132,60
195,1977,ANA,N,675,1380,131,542,159.0,3.72,1383,136,572,965,147,45
196,1977,CHW,N,844,1568,192,559,42.0,4.25,1557,136,516,842,159,55
197,1977,CHC,N,692,1489,111,534,64.0,4.01,1500,128,489,942,153,50
198,1977,CIN,N,802,1513,181,600,170.0,4.21,1469,156,544,868,95,54
199,1977,CLE,N,676,1476,100,531,87.0,4.1,1441,136,550,876,130,44
200,1977,DET,N,714,1480,166,452,60.0,4.13,1526,162,470,784,140,45
201,1977,HOU,N,680,1405,114,515,187.0,3.54,1384,110,545,871,142,50
202,1977,KCR,N,822,1549,146,522,170.0,3.52,1377,110,499,850,137,62
203,1977,LAD,N,769,1484,191,588,114.0,3.22,1393,119,438,930,124,60
204,1977,MIN,N,867,1588,123,563,105.0,4.36,1546,151,507,737,144,52
205,1977,MIL,N,639,1425,125,443,85.0,4.32,1461,136,566,719,139,41
206,1977,WSN,N,665,1474,138,478,88.0,4.01,1426,135,579,856,129,46
207,1977,NYY,Y,831,1576,184,533,93.0,3.61,1395,139,486,758,132,61
208,1977,NYM,N,587,1319,88,529,98.0,3.77,1378,118,490,911,134,39
209,1977,OAK,N,605,1284,117,516,176.0,4.04,1459,145,560,788,190,39
210,1977,PHI,N,847,1548,186,573,135.0,3.71,1451,134,482,856,120,62
211,1977,PIT,N,734,1550,133,474,260.0,3.61,1406,149,485,890,145,59
212,1977,SDP,N,692,1397,120,602,133.0,4.43,1556,160,673,827,189,42
213,1977,SEA,N,624,1398,133,426,110.0,4.83,1508,194,578,785,147,39
214,1977,SFG,N,673,1392,134,568,90.0,3.75,1501,114,529,854,178,46
215,1977,STL,N,737,1490,96,489,134.0,3.81,1420,139,532,768,139,51
216,1977,TEX,N,767,1497,135,596,154.0,3.56,1412,134,471,864,117,58
217,1977,TOR,N,605,1367,100,499,65.0,4.57,1538,152,623,771,163,33
218,1978,ATL,N,600,1313,123,550,90.0,4.08,1404,132,624,848,153,42
219,1978,BAL,N,659,1397,154,552,75.0,3.56,1340,107,509,754,110,55
220,1978,BOS,N,796,1493,172,582,74.0,3.54,1530,137,464,706,146,60
221,1978,ANA,N,691,1417,108,539,86.0,3.65,1382,125,599,892,136,53
222,1978,CHW,N,634,1423,106,409,83.0,4.21,1380,128,586,710,138,44
223,1978,CHC,N,664,1461,72,562,110.0,4.05,1475,125,539,768,144,48
224,1978,CIN,N,710,1378,136,636,137.0,3.81,1437,122,567,908,134,57
225,1978,CLE,N,639,1400,106,488,64.0,3.97,1397,100,568,739,121,43
226,1978,DET,N,714,1520,129,563,90.0,3.64,1441,135,503,684,117,53
227,1978,HOU,N,605,1408,70,434,178.0,3.63,1328,86,578,930,132,45
228,1978,KCR,N,743,1469,98,498,216.0,3.44,1350,108,478,657,150,56
229,1978,LAD,N,727,1435,149,610,137.0,3.12,1362,107,440,800,140,58
230,1978,MIN,N,666,1472,82,604,99.0,3.69,1468,102,520,703,146,45
231,1978,MIL,N,804,1530,173,520,95.0,3.65,1442,109,398,577,150,57
232,1978,WSN,N,633,1404,121,396,80.0,3.42,1332,117,572,740,134,46
233,1978,NYY,Y,735,1489,125,505,98.0,3.18,1321,111,478,817,113,61
234,1978,NYM,N,607,1332,86,549,100.0,3.87,1447,114,531,775,132,40
235,1978,OAK,N,532,1304,100,433,144.0,3.62,1401,106,582,750,179,42
236,1978,PHI,N,708,1404,133,552,152.0,3.33,1343,118,393,813,104,55
237,1978,PIT,N,684,1390,115,480,213.0,3.41,1366,103,499,880,166,54
238,1978,SDP,N,591,1349,75,536,152.0,3.28,1385,74,483,744,160,51
239,1978,SEA,N,614,1327,97,522,123.0,4.67,1540,155,567,630,141,35
240,1978,SFG,N,613,1331,117,554,87.0,3.3,1377,84,453,840,146,54
241,1978,STL,N,600,1351,79,420,97.0,3.58,1300,94,600,859,136,42
242,1978,TEX,N,692,1353,132,624,196.0,3.36,1431,108,421,776,153,53
243,1978,TOR,N,590,1358,98,448,28.0,4.54,1529,149,614,758,130,36
244,1979,ATL,N,669,1389,126,490,98.0,4.18,1496,132,494,779,183,41
245,1979,BAL,N,757,1401,181,608,99.0,3.26,1279,133,467,786,125,64
246,1979,BOS,N,841,1567,194,512,60.0,4.03,1487,133,463,731,142,56
247,1979,ANA,N,866,1563,164,589,100.0,4.34,1463,131,573,820,135,54
248,1979,CHW,N,730,1505,127,454,97.0,4.1,1365,114,618,675,173,45
249,1979,CHC,N,706,1494,135,478,73.0,3.88,1500,127,521,933,159,49
250,1979,CIN,N,731,1445,132,614,99.0,3.58,1415,103,485,773,124,55
251,1979,CLE,N,760,1388,138,657,143.0,4.57,1502,138,570,781,126,50
252,1979,DET,N,770,1446,164,575,176.0,4.27,1429,167,547,802,120,52
253,1979,HOU,N,583,1382,49,461,190.0,3.2,1278,90,504,854,137,54
254,1979,KCR,N,851,1596,116,528,207.0,4.45,1477,165,536,640,146,52
255,1979,LAD,N,739,1443,183,556,106.0,3.83,1425,101,555,811,118,48
256,1979,MIN,N,764,1544,112,526,66.0,4.13,1590,128,452,721,134,50
257,1979,MIL,N,807,1552,185,549,100.0,4.03,1563,162,381,580,127,59
258,1979,WSN,N,701,1445,143,432,121.0,3.14,1379,116,450,813,131,59
259,1979,NYY,N,734,1443,150,509,65.0,3.83,1446,123,455,731,122,55
260,1979,NYM,N,593,1399,74,498,135.0,3.84,1486,120,607,819,140,38
261,1979,OAK,N,573,1276,108,482,104.0,4.75,1606,147,654,726,174,33
262,1979,PHI,N,683,1453,119,602,128.0,4.16,1455,135,477,787,106,51
263,1979,PIT,Y,775,1541,148,483,180.0,3.41,1424,125,504,904,134,60
264,1979,SDP,N,603,1316,93,534,100.0,3.69,1438,108,513,779,140,42
265,1979,SEA,N,711,1490,132,515,126.0,4.58,1567,165,571,736,141,41
266,1979,SFG,N,672,1328,125,580,140.0,4.16,1484,143,577,880,161,43
267,1979,STL,N,731,1594,100,460,116.0,3.72,1449,127,501,788,132,52
268,1979,TEX,N,750,1549,140,461,79.0,3.86,1371,135,532,773,130,51
269,1979,TOR,N,613,1362,95,448,75.0,4.82,1537,165,594,613,158,32
270,1980,ATL,N,630,1352,144,434,73.0,3.77,1397,131,454,696,162,50
271,1980,BAL,N,805,1523,156,587,111.0,3.64,1438,134,507,789,95,61
272,1980,BOS,N,757,1588,162,475,79.0,4.38,1557,129,481,696,149,51
273,1980,ANA,N,698,1442,106,539,91.0,4.52,1548,141,529,725,134,40
274,1980,CHW,N,587,1408,91,399,68.0,3.92,1434,108,563,724,171,43
275,1980,CHC,N,614,1411,107,471,93.0,3.89,1525,109,589,923,174,39
276,1980,CIN,N,707,1445,113,537,156.0,3.85,1404,113,506,833,106,54
277,1980,CLE,N,738,1517,89,617,118.0,4.68,1519,137,552,843,105,49
278,1980,DET,N,830,1543,143,645,75.0,4.25,1505,152,558,741,129,51
279,1980,HOU,N,637,1455,75,540,194.0,3.1,1367,69,466,929,140,57
280,1980,KCR,N,809,1633,115,508,185.0,3.83,1496,129,465,614,141,59
281,1980,LAD,N,663,1462,148,492,123.0,3.25,1358,105,480,835,123,56
282,1980,MIN,N,670,1468,99,436,62.0,3.93,1502,120,468,744,146,47
283,1980,MIL,N,811,1555,203,455,131.0,3.71,1530,137,420,575,147,53
284,1980,WSN,N,694,1407,114,547,237.0,3.48,1447,100,460,823,144,55
285,1980,NYY,N,820,1484,189,643,86.0,3.58,1433,102,463,845,138,63
286,1980,NYM,N,611,1407,61,501,158.0,3.85,1473,140,510,886,154,41
287,1980,OAK,N,686,1424,137,506,175.0,3.46,1347,142,521,769,130,51
288,1980,PHI,Y,728,1517,117,472,140.0,3.43,1419,87,530,889,136,56
289,1980,PIT,N,666,1469,116,452,209.0,3.58,1422,110,451,832,137,51
290,1980,SDP,N,591,1410,67,563,239.0,3.65,1474,97,536,728,131,44
291,1980,SEA,N,610,1359,104,483,116.0,4.38,1565,159,540,703,149,36
292,1980,SFG,N,573,1310,80,509,100.0,3.46,1446,92,492,811,156,46
293,1980,STL,N,738,1541,101,451,117.0,3.93,1454,90,495,664,122,45
294,1980,TEX,N,756,1616,124,480,91.0,4.02,1561,119,519,890,147,46
295,1980,TOR,N,624,1398,126,448,67.0,4.19,1523,135,635,705,133,41
296,1981,ATL,N,395,886,64,321,98.0,3.45,936,62,330,471,102,46
297,1981,BAL,N,429,883,88,404,41.0,3.7,923,83,347,489,68,56
298,1981,BOS,N,519,1052,90,378,32.0,3.81,983,90,354,536,91,54
299,1981,ANA,N,476,944,97,393,44.0,3.7,958,81,323,426,101,46
300,1981,CHW,N,476,982,76,322,86.0,3.47,891,73,336,529,87,50
301,1981,CHC,N,370,838,57,342,72.0,4.01,983,59,388,532,113,35
302,1981,CIN,N,464,972,64,375,58.0,3.73,863,67,393,593,80,61
303,1981,CLE,N,431,922,39,343,119.0,3.88,989,67,311,569,87,50
304,1981,DET,N,427,922,65,404,61.0,3.53,840,83,373,476,65,55
305,1981,HOU,N,394,948,45,340,81.0,2.66,842,40,300,610,87,55
306,1981,KCR,N,397,952,61,301,100.0,3.56,909,75,273,404,72,48
307,1981,LAD,Y,450,984,82,331,73.0,3.01,904,54,302,603,87,57
308,1981,MIN,N,378,884,47,275,34.0,3.98,1021,79,376,500,93,37
309,1981,MIL,N,493,961,96,300,39.0,3.91,994,72,352,448,79,56
310,1981,WSN,N,443,883,81,368,138.0,3.3,902,58,268,520,81,55
311,1981,NYY,N,421,889,100,391,47.0,2.9,827,64,287,606,72,55
312,1981,NYM,N,348,868,57,304,103.0,3.55,906,74,336,490,130,39
313,1981,OAK,N,458,910,104,342,98.0,3.3,883,80,370,505,81,58
314,1981,PHI,N,491,1002,69,372,103.0,4.05,967,72,347,580,86,55
315,1981,PIT,N,407,920,55,278,122.0,3.56,953,60,346,492,86,44
316,1981,SDP,N,382,963,32,311,83.0,3.72,1013,64,414,492,102,37
317,1981,SEA,N,426,950,89,329,100.0,4.23,1039,76,360,478,91,40
318,1981,SFG,N,427,941,63,386,89.0,3.28,970,57,393,561,99,50
319,1981,STL,N,464,936,50,379,88.0,3.63,902,52,290,388,82,57
320,1981,TEX,N,452,968,49,295,46.0,3.4,891,67,322,488,69,54
321,1981,TOR,N,329,797,61,284,66.0,3.82,908,72,377,451,105,34
322,1982,ATL,N,739,1411,146,554,151.0,3.82,1484,126,502,813,137,54
323,1982,BAL,N,774,1478,179,634,49.0,3.99,1436,147,488,719,101,57
324,1982,BOS,N,753,1536,136,547,42.0,4.03,1557,155,478,816,121,54
325,1982,ANA,N,814,1518,186,613,55.0,3.82,1436,124,482,728,106,57
326,1982,CHW,N,786,1523,136,533,136.0,3.87,1502,99,460,753,154,53
327,1982,CHC,N,676,1436,102,460,132.0,3.92,1510,125,452,764,132,45
328,1982,CIN,N,545,1375,82,470,131.0,3.66,1414,105,570,998,128,37
