,Runs,Count,Frequency
0,579,5,0.002145922746781116
1,506,2,0.0008583690987124463
2,468,2,0.0008583690987124463
3,612,8,0.0034334763948497852
4,667,17,0.007296137339055794
5,735,16,0.0068669527896995704
6,567,5,0.002145922746781116
7,512,2,0.0008583690987124463
8,780,8,0.0034334763948497852
9,586,5,0.002145922746781116
10,623,7,0.0030042918454935624
11,708,15,0.006437768240343348
12,692,7,0.0030042918454935624
13,511,3,0.0012875536480686696
14,535,2,0.0008583690987124463
15,559,4,0.0017167381974248926
16,463,3,0.0012875536480686696
17,496,3,0.0012875536480686696
18,408,1,0.00042918454935622315
19,570,7,0.0030042918454935624
20,705,10,0.004291845493562232
21,533,5,0.002145922746781116
22,663,10,0.004291845493562232
23,518,2,0.0008583690987124463
24,625,7,0.0030042918454935624
25,644,8,0.0034334763948497852
26,561,2,0.0008583690987124463
27,528,5,0.002145922746781116
28,558,7,0.0030042918454935624
29,470,2,0.0008583690987124463
30,464,5,0.002145922746781116
31,446,1,0.00042918454935622315
32,502,1,0.00042918454935622315
33,588,5,0.002145922746781116
34,574,7,0.0030042918454935624
35,526,1,0.00042918454935622315
36,530,4,0.0017167381974248926
37,694,8,0.0034334763948497852
38,605,10,0.004291845493562232
39,582,4,0.0017167381974248926
40,634,11,0.004721030042918455
41,542,3,0.0012875536480686696
42,419,1,0.00042918454935622315
43,564,4,0.0017167381974248926
44,377,1,0.00042918454935622315
45,537,6,0.002575107296137339
46,624,7,0.0030042918454935624
47,489,1,0.00042918454935622315
48,568,3,0.0012875536480686696
49,647,6,0.002575107296137339
50,652,9,0.0038626609442060085
51,459,1,0.00042918454935622315
52,486,2,0.0008583690987124463
53,504,2,0.0008583690987124463
54,585,6,0.002575107296137339
55,544,2,0.0008583690987124463
56,371,1,0.00042918454935622315
57,479,1,0.00042918454935622315
58,597,9,0.0038626609442060085
59,444,1,0.00042918454935622315
60,435,1,0.00042918454935622315
61,492,1,0.00042918454935622315
62,635,6,0.002575107296137339
63,606,2,0.0008583690987124463
64,493,4,0.0017167381974248926
65,666,10,0.004291845493562232
66,590,6,0.002575107296137339
67,516,3,0.0012875536480686696
68,699,10,0.004291845493562232
69,441,1,0.00042918454935622315
70,583,6,0.002575107296137339
71,380,1,0.00042918454935622315
72,638,5,0.002145922746781116
73,497,2,0.0008583690987124463
74,495,3,0.0012875536480686696
75,457,3,0.0012875536480686696
76,712,11,0.004721030042918455
77,620,5,0.002145922746781116
78,548,4,0.0017167381974248926
79,679,8,0.0034334763948497852
80,715,7,0.0030042918454935624
81,626,6,0.002575107296137339
82,673,13,0.005579399141630901
83,674,6,0.002575107296137339
84,655,5,0.002145922746781116
85,451,1,0.00042918454935622315
86,639,11,0.004721030042918455
87,501,3,0.0012875536480686696
88,680,8,0.0034334763948497852
89,539,3,0.0012875536480686696
90,719,7,0.0030042918454935624
91,757,8,0.0034334763948497852
92,682,19,0.00815450643776824
93,691,16,0.0068669527896995704
94,831,8,0.0034334763948497852
95,756,7,0.0030042918454935624
96,684,14,0.006008583690987125
97,861,4,0.0017167381974248926
98,658,3,0.0012875536480686696
99,744,9,0.0038626609442060085
100,671,8,0.0034334763948497852
101,799,10,0.004291845493562232
102,651,13,0.005579399141630901
103,693,13,0.005579399141630901
104,656,10,0.004291845493562232
105,677,8,0.0034334763948497852
106,720,13,0.005579399141630901
107,823,7,0.0030042918454935624
108,630,4,0.0017167381974248926
