,Runs,Count,Frequency
187,395,1,0.0008237232289950577
188,429,1,0.0008237232289950577
189,476,2,0.0016474464579901153
190,370,1,0.0008237232289950577
191,464,2,0.0016474464579901153
192,431,1,0.0008237232289950577
193,427,2,0.0016474464579901153
194,394,1,0.0008237232289950577
195,397,1,0.0008237232289950577
196,378,1,0.0008237232289950577
197,443,1,0.0008237232289950577
198,421,1,0.0008237232289950577
199,348,1,0.0008237232289950577
200,458,1,0.0008237232289950577
201,491,1,0.0008237232289950577
202,407,1,0.0008237232289950577
203,382,1,0.0008237232289950577
204,426,1,0.0008237232289950577
205,452,1,0.0008237232289950577
206,329,1,0.0008237232289950577
207,774,3,0.002471169686985173
208,753,5,0.004118616144975288
209,814,3,0.002471169686985173
210,545,1,0.0008237232289950577
211,569,1,0.0008237232289950577
212,784,4,0.0032948929159802307
213,657,4,0.0032948929159802307
214,891,3,0.002471169686985173
215,697,3,0.002471169686985173
216,709,3,0.002471169686985173
217,651,8,0.006589785831960461
218,746,6,0.004942339373970346
219,722,4,0.0032948929159802307
220,800,4,0.0032948929159802307
221,623,1,0.0008237232289950577
222,789,4,0.0032948929159802307
223,575,2,0.0016474464579901153
224,679,4,0.0032948929159802307
225,795,3,0.002471169686985173
226,632,5,0.004118616144975288
227,810,4,0.0032948929159802307
228,762,2,0.0016474464579901153
229,627,2,0.0016474464579901153
230,761,3,0.002471169686985173
231,693,7,0.005766062602965404
232,656,5,0.004118616144975288
233,818,2,0.0016474464579901153
234,732,5,0.004118616144975288
235,705,3,0.002471169686985173
236,839,1,0.0008237232289950577
237,650,7,0.005766062602965404
238,556,2,0.0016474464579901153
239,747,9,0.007413509060955519
240,759,4,0.0032948929159802307
241,794,3,0.002471169686985173
242,644,4,0.0032948929159802307
243,638,2,0.0016474464579901153
244,797,1,0.0008237232289950577
245,718,6,0.004942339373970346
246,771,4,0.0032948929159802307
247,842,2,0.0016474464579901153
248,748,4,0.0032948929159802307
249,783,6,0.004942339373970346
250,896,1,0.0008237232289950577
251,715,4,0.0032948929159802307
252,635,2,0.0016474464579901153
253,862,1,0.0008237232289950577
254,788,1,0.0008237232289950577
255,823,4,0.0032948929159802307
256,702,3,0.002471169686985173
257,723,4,0.0032948929159802307
258,845,3,0.002471169686985173
259,555,1,0.0008237232289950577
260,813,3,0.002471169686985173
