,Runs,Count,Frequency
0,632,1,0.021739130434782608
1,792,1,0.021739130434782608
2,788,1,0.021739130434782608
3,604,1,0.021739130434782608
4,758,1,0.021739130434782608
5,689,1,0.021739130434782608
6,840,1,0.021739130434782608
7,857,1,0.021739130434782608
8,831,1,0.021739130434782608
9,735,1,0.021739130434782608
10,775,1,0.021739130434782608
11,728,1,0.021739130434782608
12,450,1,0.021739130434782608
13,685,1,0.021739130434782608
14,799,2,0.043478260869565216
15,829,1,0.021739130434782608
16,687,1,0.021739130434782608
17,783,1,0.021739130434782608
18,786,1,0.021739130434782608
19,628,1,0.021739130434782608
20,712,1,0.021739130434782608
21,693,1,0.021739130434782608
22,776,1,0.021739130434782608
23,780,1,0.021739130434782608
24,847,1,0.021739130434782608
25,645,1,0.021739130434782608
26,871,2,0.043478260869565216
27,740,1,0.021739130434782608
28,965,1,0.021739130434782608
29,900,1,0.021739130434782608
30,818,1,0.021739130434782608
31,851,1,0.021739130434782608
32,751,1,0.021739130434782608
33,949,1,0.021739130434782608
34,741,1,0.021739130434782608
35,781,1,0.021739130434782608
36,867,1,0.021739130434782608
37,915,1,0.021739130434782608
38,697,1,0.021739130434782608
39,762,1,0.021739130434782608
40,718,1,0.021739130434782608
41,853,1,0.021739130434782608
42,665,1,0.021739130434782608
43,724,1,0.021739130434782608
