,franchID,WSWIN,R,ERA,WP
0,ARI,0,812,3.66,0.574
1,ATL,0,732,4.72,0.444
2,BAL,0,743,4.97,0.463
3,BOS,0,785,3.7,0.574
4,CHC,0,822,3.95,0.568
5,CHW,0,706,4.78,0.414
6,CIN,0,753,5.17,0.42
7,CLE,0,818,3.3,0.63
8,COL,0,824,4.51,0.537
9,DET,0,735,5.36,0.395
10,HOU,1,896,4.12,0.623
11,KCR,0,702,4.61,0.494
12,LAA,0,710,4.2,0.494
13,LAD,0,770,3.38,0.642
14,MIA,0,778,4.82,0.475
15,MIL,0,732,4,0.531
16,MIN,0,815,4.59,0.525
17,NYM,0,735,5.01,0.432
18,NYY,0,858,3.72,0.562
19,OAK,0,739,4.67,0.463
20,PHI,0,690,4.55,0.407
21,PIT,0,668,4.22,0.463
22,SDP,0,604,4.67,0.438
23,SEA,0,750,4.46,0.481
24,SFG,0,639,4.5,0.395
25,STL,0,761,4.01,0.512
26,TBR,0,694,3.97,0.494
27,TEX,0,799,4.66,0.481
28,TOR,0,693,4.42,0.469
29,WSN,0,819,3.88,0.599
