,ERA,Count,Frequency
0,3.5,54,0.04285714285714286
1,2.8,4,0.0031746031746031746
2,3.9,74,0.05873015873015873
3,4.2,84,0.06666666666666667
4,3.3,40,0.031746031746031744
5,4.1,72,0.05714285714285714
6,3.6,87,0.06904761904761905
7,3.7,83,0.06587301587301587
8,3.1,22,0.01746031746031746
9,3.2,33,0.02619047619047619
10,4.3,69,0.05476190476190476
11,3.0,18,0.014285714285714285
12,4.4,58,0.046031746031746035
13,2.9,7,0.005555555555555556
14,4.5,52,0.04126984126984127
15,3.8,98,0.07777777777777778
16,3.4,60,0.047619047619047616
17,2.5,1,0.0007936507936507937
18,2.6,1,0.0007936507936507937
19,4.6,59,0.046825396825396826
20,4.0,98,0.07777777777777778
21,4.8,36,0.02857142857142857
22,4.7,37,0.029365079365079365
23,2.7,1,0.0007936507936507937
24,4.9,29,0.023015873015873017
25,5.0,22,0.01746031746031746
26,5.3,8,0.006349206349206349
27,5.4,7,0.005555555555555556
28,5.5,7,0.005555555555555556
29,5.8,1,0.0007936507936507937
30,5.2,21,0.016666666666666666
31,5.6,2,0.0015873015873015873
32,6.4,1,0.0007936507936507937
33,6.0,1,0.0007936507936507937
34,5.1,11,0.00873015873015873
35,5.7,2,0.0015873015873015873
