,ERA,Count,Frequency
0,2.8,33,0.014972776769509982
1,3.8,163,0.07395644283121597
2,3.5,87,0.039473684210526314
3,2.0,5,0.002268602540834846
4,3.0,43,0.019509981851179675
5,2.9,34,0.015426497277676952
6,2.2,11,0.004990925589836661
7,2.7,26,0.011796733212341199
8,3.6,138,0.06261343012704174
9,3.4,113,0.05127041742286751
10,3.1,62,0.028130671506352088
11,1.8,2,0.0009074410163339383
12,2.1,6,0.0027223230490018148
13,2.5,13,0.005898366606170599
14,2.6,21,0.009528130671506351
15,3.2,75,0.03402903811252268
16,2.4,18,0.008166969147005444
17,3.3,74,0.03357531760435572
18,2.3,10,0.004537205081669692
19,1.9,1,0.00045372050816696913
20,5.1,19,0.008620689655172414
21,3.7,118,0.05353901996370236
22,3.9,116,0.05263157894736842
23,4.2,128,0.05807622504537205
24,4.1,104,0.047186932849364795
25,4.3,107,0.048548094373865695
26,4.0,154,0.06987295825771325
27,4.9,45,0.02041742286751361
28,4.4,98,0.04446460980036298
29,4.6,87,0.039473684210526314
30,4.5,75,0.03402903811252268
31,5.3,11,0.004990925589836661
32,4.7,53,0.024047186932849365
33,5.0,36,0.016333938294010888
34,4.8,52,0.023593466424682397
35,5.4,10,0.004537205081669692
36,5.6,3,0.0013611615245009074
37,6.1,2,0.0009074410163339383
38,6.7,1,0.00045372050816696913
39,5.2,31,0.014065335753176044
40,6.2,1,0.00045372050816696913
41,6.0,3,0.0013611615245009074
42,5.5,9,0.004083484573502722
43,5.8,3,0.0013611615245009074
44,6.4,1,0.00045372050816696913
45,5.7,2,0.0009074410163339383
