,Percentage,Count,Frequency
0,57,26,0.020634920634920634
1,67,1,0.0007936507936507937
2,53,73,0.05793650793650794
3,43,50,0.03968253968253968
4,41,55,0.04365079365079365
5,56,57,0.04523809523809524
6,54,87,0.06904761904761905
7,38,23,0.018253968253968255
8,55,50,0.03968253968253968
9,50,63,0.05
10,42,28,0.022222222222222223
11,52,48,0.0380952380952381
12,59,48,0.0380952380952381
13,32,4,0.0031746031746031746
14,49,42,0.03333333333333333
15,61,20,0.015873015873015872
16,39,23,0.018253968253968255
17,46,80,0.06349206349206349
18,66,3,0.002380952380952381
19,34,7,0.005555555555555556
20,51,76,0.06031746031746032
21,62,18,0.014285714285714285
22,48,70,0.05555555555555555
23,40,35,0.027777777777777776
24,60,24,0.01904761904761905
25,45,68,0.05396825396825397
26,63,8,0.006349206349206349
27,37,19,0.01507936507936508
28,44,35,0.027777777777777776
29,35,9,0.007142857142857143
30,47,40,0.031746031746031744
31,58,45,0.03571428571428571
32,33,7,0.005555555555555556
33,36,6,0.004761904761904762
34,64,5,0.003968253968253968
35,69,1,0.0007936507936507937
36,65,1,0.0007936507936507937
37,70,1,0.0007936507936507937
38,71,1,0.0007936507936507937
39,26,1,0.0007936507936507937
40,31,2,0.0015873015873015873
