,Percentage,Count,Frequency
0,57,25,0.02059308072487644
1,67,1,0.0008237232289950577
2,53,73,0.06013179571663921
3,43,50,0.04118616144975288
4,41,55,0.045304777594728174
5,56,47,0.03871499176276771
6,54,85,0.0700164744645799
7,38,23,0.018945634266886325
8,55,48,0.039538714991762765
9,50,63,0.051894563426688634
10,42,28,0.023064250411861616
11,52,47,0.03871499176276771
12,59,44,0.036243822075782535
13,32,4,0.0032948929159802307
14,49,42,0.03459637561779242
15,39,23,0.018945634266886325
16,46,80,0.06589785831960461
17,34,7,0.005766062602965404
18,51,75,0.06177924217462932
19,62,16,0.013179571663920923
20,48,70,0.057660626029654036
21,40,35,0.028830313014827018
22,60,19,0.015650741350906095
23,45,68,0.05601317957166392
24,63,7,0.005766062602965404
25,37,19,0.015650741350906095
26,61,14,0.011532125205930808
27,44,35,0.028830313014827018
28,35,9,0.007413509060955519
29,47,40,0.032948929159802305
30,58,39,0.03212520593080725
31,33,7,0.005766062602965404
32,36,6,0.004942339373970346
33,64,4,0.0032948929159802307
34,69,1,0.0008237232289950577
35,65,1,0.0008237232289950577
36,71,1,0.0008237232289950577
37,26,1,0.0008237232289950577
38,31,2,0.0016474464579901153
