,ERA,Count,Frequency
0,2.4,2,0.01818181818181818
1,2.1,3,0.02727272727272727
2,1.7,1,0.00909090909090909
3,1.8,1,0.00909090909090909
4,3.0,9,0.08181818181818182
5,2.8,3,0.02727272727272727
6,3.2,7,0.06363636363636363
7,2.7,4,0.03636363636363636
8,2.5,1,0.00909090909090909
9,2.2,2,0.01818181818181818
10,2.3,1,0.00909090909090909
11,3.4,13,0.11818181818181818
12,3.6,8,0.07272727272727272
13,3.3,5,0.045454545454545456
14,3.9,6,0.05454545454545454
15,3.7,11,0.1
16,4.3,2,0.01818181818181818
17,4.0,2,0.01818181818181818
18,3.8,5,0.045454545454545456
19,4.2,4,0.03636363636363636
20,3.5,8,0.07272727272727272
21,2.6,2,0.01818181818181818
22,2.9,1,0.00909090909090909
23,3.1,4,0.03636363636363636
24,4.6,2,0.01818181818181818
25,4.1,1,0.00909090909090909
26,4.8,1,0.00909090909090909
27,4.5,1,0.00909090909090909
