,franchID,WSWIN,R,ERA,WP
0,ARI,,454,3.63,0.549
1,ATL,,481,3.88,0.551
2,BAL,,367,4.88,0.284
3,BOS,,551,3.56,0.689
4,CHC,,509,3.74,0.58
5,CHW,,401,4.83,0.36
6,CIN,,470,4.75,0.436
7,CLE,,516,4.09,0.54
8,COL,,487,4.75,0.53
9,DET,,401,4.39,0.417
10,HOU,,523,2.99,0.65
11,KCR,,361,5.31,0.31
12,LAA,,445,3.83,0.49
13,LAD,,483,3.49,0.554
14,MIA,,399,4.76,0.427
15,MIL,,447,3.61,0.563
16,MIN,,447,4.47,0.465
17,NYM,,384,4.27,0.418
18,NYY,,515,3.53,0.646
19,OAK,,488,4,0.578
20,PHI,,442,3.84,0.56
21,PIT,,469,4.21,0.52
22,SDP,,386,4.35,0.404
23,SEA,,426,3.99,0.594
24,SFG,,416,3.97,0.51
25,STL,,452,3.9,0.505
26,TBR,,421,3.7,0.505
27,TEX,,453,4.88,0.412
28,TOR,,443,4.52,0.46
29,WSN,,433,3.92,0.49
