,Runs,Count,Frequency
0,579,5,0.002268602540834846
1,506,2,0.0009074410163339383
2,468,2,0.0009074410163339383
3,612,8,0.003629764065335753
4,667,17,0.007713248638838476
5,735,15,0.006805807622504537
6,567,5,0.002268602540834846
7,512,2,0.0009074410163339383
8,586,5,0.002268602540834846
9,623,7,0.003176043557168784
10,708,15,0.006805807622504537
11,692,7,0.003176043557168784
12,511,3,0.0013611615245009074
13,535,2,0.0009074410163339383
14,559,4,0.0018148820326678765
15,463,3,0.0013611615245009074
16,496,3,0.0013611615245009074
17,408,1,0.00045372050816696913
18,705,9,0.004083484573502722
19,533,5,0.002268602540834846
20,663,10,0.004537205081669692
21,518,2,0.0009074410163339383
22,625,7,0.003176043557168784
23,644,7,0.003176043557168784
24,561,2,0.0009074410163339383
25,528,5,0.002268602540834846
26,558,7,0.003176043557168784
27,470,2,0.0009074410163339383
28,464,5,0.002268602540834846
29,446,1,0.00045372050816696913
30,502,1,0.00045372050816696913
31,588,5,0.002268602540834846
32,526,1,0.00045372050816696913
33,530,4,0.0018148820326678765
34,694,8,0.003629764065335753
35,574,5,0.002268602540834846
36,605,9,0.004083484573502722
37,582,4,0.0018148820326678765
38,634,10,0.004537205081669692
39,542,3,0.0013611615245009074
40,419,1,0.00045372050816696913
41,564,4,0.0018148820326678765
42,377,1,0.00045372050816696913
43,537,6,0.0027223230490018148
44,489,1,0.00045372050816696913
45,568,3,0.0013611615245009074
46,647,5,0.002268602540834846
47,652,9,0.004083484573502722
48,459,1,0.00045372050816696913
49,486,2,0.0009074410163339383
50,504,2,0.0009074410163339383
51,585,5,0.002268602540834846
52,544,2,0.0009074410163339383
53,371,1,0.00045372050816696913
54,479,1,0.00045372050816696913
55,597,9,0.004083484573502722
56,444,1,0.00045372050816696913
57,435,1,0.00045372050816696913
58,492,1,0.00045372050816696913
59,635,6,0.0027223230490018148
60,606,2,0.0009074410163339383
61,493,4,0.0018148820326678765
62,666,10,0.004537205081669692
63,590,6,0.0027223230490018148
64,516,3,0.0013611615245009074
65,441,1,0.00045372050816696913
66,583,6,0.0027223230490018148
67,380,1,0.00045372050816696913
68,638,5,0.002268602540834846
69,497,2,0.0009074410163339383
70,495,3,0.0013611615245009074
71,457,3,0.0013611615245009074
72,712,9,0.004083484573502722
73,620,4,0.0018148820326678765
74,548,4,0.0018148820326678765
75,679,8,0.003629764065335753
76,715,6,0.0027223230490018148
77,626,6,0.0027223230490018148
78,674,6,0.0027223230490018148
79,655,5,0.002268602540834846
80,451,1,0.00045372050816696913
81,639,11,0.004990925589836661
82,501,3,0.0013611615245009074
83,680,8,0.003629764065335753
84,539,3,0.0013611615245009074
85,699,9,0.004083484573502722
86,719,7,0.003176043557168784
87,757,8,0.003629764065335753
88,682,19,0.008620689655172414
89,691,16,0.007259528130671506
90,831,7,0.003176043557168784
91,756,7,0.003176043557168784
92,684,14,0.006352087114337568
93,658,3,0.0013611615245009074
94,744,9,0.004083484573502722
95,671,7,0.003176043557168784
96,651,13,0.005898366606170599
97,693,12,0.0054446460980036296
98,656,9,0.004083484573502722
99,677,8,0.003629764065335753
100,720,13,0.005898366606170599
101,823,6,0.0027223230490018148
102,630,4,0.0018148820326678765
103,779,5,0.002268602540834846
104,670,7,0.003176043557168784
105,751,6,0.0027223230490018148
106,552,5,0.002268602540834846
107,659,7,0.003176043557168784
108,631,7,0.003176043557168784
109,595,4,0.0018148820326678765
110,641,9,0.004083484573502722
111,488,2,0.0009074410163339383
112,607,3,0.0013611615245009074
113,633,8,0.003629764065335753
114,624,6,0.0027223230490018148
115,529,3,0.0013611615245009074
116,673,12,0.0054446460980036296
117,596,4,0.0018148820326678765
118,589,5,0.002268602540834846
119,622,5,0.002268602540834846
120,487,1,0.00045372050816696913
121,538,3,0.0013611615245009074
122,615,12,0.0054446460980036296
123,672,6,0.0027223230490018148
124,749,7,0.003176043557168784
125,503,2,0.0009074410163339383
126,523,3,0.0013611615245009074
127,572,3,0.0013611615245009074
128,536,5,0.002268602540834846
129,717,5,0.002268602540834846
130,570,6,0.0027223230490018148
131,778,4,0.0018148820326678765
132,584,8,0.003629764065335753
133,545,2,0.0009074410163339383
134,557,6,0.0027223230490018148
135,521,2,0.0009074410163339383
136,569,6,0.0027223230490018148
137,601,4,0.0018148820326678765
138,520,2,0.0009074410163339383
139,505,1,0.00045372050816696913
140,577,1,0.00045372050816696913
141,447,1,0.00045372050816696913
142,581,2,0.0009074410163339383
143,484,1,0.00045372050816696913
144,476,4,0.0018148820326678765
145,555,3,0.0013611615245009074
146,524,2,0.0009074410163339383
147,578,6,0.0027223230490018148
148,510,3,0.0013611615245009074
149,531,3,0.0013611615245009074
150,543,4,0.0018148820326678765
151,360,1,0.00045372050816696913
152,424,1,0.00045372050816696913
153,480,1,0.00045372050816696913
154,412,1,0.00045372050816696913
155,430,1,0.00045372050816696913
156,466,1,0.00045372050816696913
157,426,2,0.0009074410163339383
158,454,3,0.0013611615245009074
159,461,2,0.0009074410163339383
160,525,2,0.0009074410163339383
161,465,2,0.0009074410163339383
162,636,5,0.002268602540834846
163,618,5,0.002268602540834846
