,Runs,Count,Frequency
0,691,13,0.010317460317460317
1,779,3,0.002380952380952381
2,743,6,0.004761904761904762
3,528,2,0.0015873015873015873
4,625,3,0.002380952380952381
5,720,7,0.005555555555555556
6,798,7,0.005555555555555556
7,573,6,0.004761904761904762
8,701,6,0.004761904761904762
9,676,7,0.005555555555555556
10,586,3,0.002380952380952381
11,645,5,0.003968253968253968
12,790,5,0.003968253968253968
13,582,1,0.0007936507936507937
14,562,1,0.0007936507936507937
15,632,6,0.004761904761904762
16,740,8,0.006349206349206349
17,725,3,0.002380952380952381
18,468,1,0.0007936507936507937
19,639,5,0.003968253968253968
20,713,8,0.006349206349206349
21,595,3,0.002380952380952381
22,694,5,0.003968253968253968
23,736,4,0.0031746031746031746
24,792,3,0.002380952380952381
25,786,5,0.003968253968253968
26,631,3,0.002380952380952381
27,633,4,0.0031746031746031746
28,806,2,0.0015873015873015873
29,775,5,0.003968253968253968
30,649,4,0.0031746031746031746
31,666,5,0.003968253968253968
32,744,3,0.002380952380952381
33,611,4,0.0031746031746031746
34,749,6,0.004761904761904762
35,613,6,0.004761904761904762
36,687,5,0.003968253968253968
37,680,6,0.004761904761904762
38,695,4,0.0031746031746031746
39,678,3,0.002380952380952381
40,594,2,0.0015873015873015873
41,729,10,0.007936507936507936
42,681,6,0.004761904761904762
43,831,4,0.0031746031746031746
44,626,2,0.0015873015873015873
45,643,4,0.0031746031746031746
46,742,4,0.0031746031746031746
47,511,1,0.0007936507936507937
48,617,5,0.003968253968253968
49,637,8,0.006349206349206349
50,543,1,0.0007936507936507937
51,585,1,0.0007936507936507937
52,603,3,0.002380952380952381
53,663,4,0.0031746031746031746
54,654,8,0.006349206349206349
55,534,1,0.0007936507936507937
56,622,2,0.0015873015873015873
57,648,5,0.003968253968253968
58,588,1,0.0007936507936507937
59,558,3,0.002380952380952381
60,788,2,0.0015873015873015873
61,486,1,0.0007936507936507937
62,706,7,0.005555555555555556
63,739,6,0.004761904761904762
64,537,2,0.0015873015873015873
65,628,4,0.0031746031746031746
66,519,2,0.0015873015873015873
67,640,7,0.005555555555555556
68,454,1,0.0007936507936507937
69,566,1,0.0007936507936507937
70,685,5,0.003968253968253968
71,707,8,0.006349206349206349
72,472,1,0.0007936507936507937
73,708,10,0.007936507936507936
74,580,2,0.0015873015873015873
75,584,2,0.0015873015873015873
76,493,2,0.0015873015873015873
77,513,3,0.002380952380952381
78,557,1,0.0007936507936507937
79,604,2,0.0015873015873015873
80,503,1,0.0007936507936507937
81,488,1,0.0007936507936507937
82,662,6,0.004761904761904762
83,568,2,0.0015873015873015873
84,461,1,0.0007936507936507937
85,799,6,0.004761904761904762
86,754,1,0.0007936507936507937
87,738,9,0.007142857142857143
88,629,9,0.007142857142857143
89,652,4,0.0031746031746031746
90,614,5,0.003968253968253968
91,741,8,0.006349206349206349
92,642,6,0.004761904761904762
93,755,5,0.003968253968253968
94,675,6,0.004761904761904762
95,668,4,0.0031746031746031746
96,641,6,0.004761904761904762
